"SOIidx","start","end","formula","mass","anot","Ampolla_P1_V1","Ampolla_P1_V3_5","Ampolla_P1_V4","Ampolla_P1_V6","Ampolla_P2_V1","Ampolla_P2_V3_5","Ampolla_P2_V4","Ampolla_P2_V6","Ampolla_P3_V1","Ampolla_P3_V3_5","Ampolla_P3_V4","Ampolla_P3_V6","Ampolla_P4_V1","Ampolla_P4_V3_5","Ampolla_P4_V4","Ampolla_P4_V6","Ampolla_P5_V1","Ampolla_P5_V3_5","Ampolla_P5_V4","Ampolla_P5_V6","Ampolla_P6_V1","Ampolla_P6_V3_5","Ampolla_P6_V4","Ampolla_P6_V6","Ampolla_P7_V1","Ampolla_P7_V3_5","Ampolla_P7_V4","Ampolla_P7_V6","Ampolla_P8_V1","Ampolla_P8_V3_5","Ampolla_P8_V4","Ampolla_P8_V6","Bf_1","Bi_1","Bi_2","QCa_00","QCa_01","QCa_02","QCa_03","QCa_04","QCa_05","QCa_06","QCa_07","QCa_08","QCa_09","QCa_10","QCa_11"
1,325,337.5,"[C10H10ClN3Na]+",230.04554,"C10H10ClN3_M+Na",23094.576171875,11015.2109375,12431.5458984375,9180.3369140625,9132.7021484375,10789.892578125,12453.18359375,8207.3798828125,NA,9552.9033203125,NA,NA,13750.7646484375,9116.2470703125,11829.4384765625,12995.5849609375,NA,16906.099609375,NA,NA,16646.234375,13430.912109375,NA,11137.935546875,13015.3037109375,NA,12720.958984375,17165.29296875,NA,12437.0693359375,NA,NA,NA,NA,NA,9707.22265625,17126.84765625,13414.4287109375,18533.1484375,9811.751953125,10381.486328125,10722.7802734375,6661.53173828125,7487.82470703125,6243.7939453125,10416.7060546875,7585.0439453125
2,350,360,"[C10H10ClNaO3]+",236.02106,"C10H10ClO3_M+Na",25036.263671875,21805.21875,27536,22735.0078125,22466.654296875,18433.189453125,14319.189453125,14475.9375,14814.248046875,13988.1923828125,40063.84765625,13745.208984375,37924.45703125,21557.853515625,18901.408203125,14069.126953125,22434.73046875,40939.3984375,21100.36328125,13101.705078125,32626.353515625,18591.84375,6163.15185546875,9889.8876953125,28412.267578125,17633.6015625,12608.55859375,13479.7900390625,26128.30078125,14785.9501953125,12795.232421875,9000.9609375,NA,31064.599609375,18370.02734375,18881.177734375,19254.54296875,40829.0625,13744.1943359375,29305.224609375,22391.9296875,14092.1748046875,29001.771484375,13654.056640625,20778.3203125,27258.0625,29346.021484375
3,305.10809070402,310.97509822398,"[C10H10ClNaO3]+",236.02106,"C10H10ClO3_M+Na",9527.87890625,18061.32421875,7240.92529296875,22577.734375,16367.6591796875,17334.1171875,7292.744140625,19676.544921875,15408.16796875,20450.443359375,12248.54296875,14272.0009765625,9587.54296875,31994.486328125,18024.427734375,14910.66015625,12978.796875,23592.388671875,23700.54296875,37148.51953125,9047.2470703125,11464.7900390625,15560.2021484375,17326.748046875,11589.7353515625,19212.4765625,9693.818359375,12940.4873046875,8340.4638671875,18837.421875,NA,6439.22607421875,NA,10642.3359375,11482.01171875,12801.8427734375,10881.310546875,14134.15625,14309.30078125,21080.27734375,21082.962890625,22551.515625,14400.466796875,12052.0576171875,15473.0556640625,NA,NA
4,342.5,347.5,"[C10H10N3NaO8P]+",354.00977,"C10H10N3O8P_M+Na",71336.4453125,57799.4921875,88789.3828125,30449.931640625,63346.34375,NA,NA,69345.6015625,NA,66107.6640625,106795.0859375,52040.62109375,89938.0390625,46994.640625,77646.9140625,60969.84765625,40898.6328125,103420.4296875,64417.0703125,51045.64453125,75120.9140625,76227.734375,63256.859375,60829.12890625,51200.7265625,78184.546875,52195.63671875,83529.265625,74069.8828125,64428.3125,39066.78125,55427.6875,20366.568359375,NA,NA,62712.4921875,51703.640625,101765.40625,44993.91796875,64537.21875,NA,51775.94140625,68544.0234375,79675.9375,104163.765625,44436.171875,87876.1171875
5,357.5,367.5,"[C10H10N3OS2]+",252.02598,"C10H6N2OS2_M+NH4",35932.3671875,36551.40234375,33774.12109375,22602.119140625,34022.42578125,33293.90625,35835.578125,25797.494140625,46133.10546875,33618.32421875,37620.96875,29407.337890625,37823.80078125,34394.50390625,32250.65234375,35841.6640625,19992.8671875,28540.619140625,NA,17366.81640625,30957.046875,28201.623046875,23161.75390625,22026.201171875,39163.5546875,27607.177734375,31409.466796875,35590.23828125,31113.294921875,40306.85546875,29271.470703125,27396.529296875,NA,NA,NA,37430.64453125,30276.9140625,26744.92578125,22211.060546875,20982.5078125,21802.734375,28464.681640625,24372.453125,24289.955078125,19823.248046875,21703.119140625,20625.9140625
6,126.20859574934,152.38497183466,"[C10H10N3O]+",188.08184,"C10H6N2O_M+NH4; C10H9N3O_M+H",27358.91015625,19264.83984375,20288.720703125,16121.599609375,20726.03515625,24470.80859375,21305.26953125,18908.06640625,16334.3720703125,20083.564453125,17019.408203125,25926.939453125,25072.041015625,24782.1796875,25517.216796875,35169.109375,20563.95703125,22698.77734375,19137.390625,19575.5,18479.109375,18773.767578125,14817.0947265625,19126.71484375,23446.939453125,23015.732421875,26708.939453125,27846.5703125,24581.390625,24739.462890625,18270.529296875,17986.8828125,NA,NA,NA,25448.302734375,16104.265625,17883.892578125,21276.771484375,26367.244140625,20117.150390625,21057.255859375,22542.4765625,23372.904296875,26342.07421875,24651.75,25852.123046875
7,152.38497183466,178.56134791998,"[C10H10N3O]+",188.08184,"C10H6N2O_M+NH4; C10H9N3O_M+H",21085.876953125,12055.3134765625,14143.205078125,10159.5107421875,10993.701171875,12190.2822265625,7358.6220703125,9439.6396484375,8960.6943359375,19203.189453125,11804.953125,12264.421875,16672.021484375,17387.544921875,16063.41015625,20368.115234375,8676.3046875,14006.142578125,7673.35400390625,19575.5,18438.919921875,12543.8642578125,12842.255859375,11548.9072265625,16532.59375,14397.099609375,18984.86328125,19108.033203125,9341.7431640625,18998.60546875,9120.875,12206.16015625,NA,NA,NA,12595.599609375,16104.265625,14532.421875,17840.86328125,11567.2392578125,16187.361328125,15102.6748046875,17209.248046875,13509.3349609375,12179.109375,16840.017578125,14107.052734375
12,362.5,370,"[C10H10N5O]+",216.08799,"C10H9N5O_M+H",9405.4306640625,10778.7314453125,9547.884765625,9328.3056640625,9616.53125,9457.8525390625,9263.43359375,8673.4296875,14258.6943359375,9765.140625,12321.28515625,11019.6220703125,8890.005859375,11272.3896484375,8588.072265625,9198.271484375,8055.5146484375,9705.77734375,6828.18115234375,9477.3515625,8550.21875,9274.7509765625,7852.50732421875,10596.4365234375,11318.5498046875,9579.2392578125,9626.884765625,11238.126953125,7784.19189453125,8981.517578125,11267.43359375,7517.38818359375,7916.33544921875,NA,NA,10109.18359375,10839.0546875,11514.8115234375,NA,8076.09423828125,9425.7998046875,10441.669921875,9268.337890625,7607.20654296875,9791.4384765625,8105.01513671875,8946.5859375
13,320,330,"[C10H10NO3]+",192.06552,"C10H9NO3_M+H; C10H11NO4_M+H-H2O; C10H6O3_M+NH4",16497.02734375,10873.8408203125,21929.77734375,8321.7265625,7633.7294921875,NA,14499.201171875,6831.373046875,15017.884765625,15905.8857421875,17475.490234375,11871.4423828125,16390.630859375,14919.6767578125,17079.462890625,13003.513671875,8738.5009765625,17440.033203125,10099.61328125,9426.333984375,10805.90625,11330.044921875,NA,NA,12897.185546875,9075.69140625,15888.44921875,20262.84375,11322.216796875,16934.8984375,NA,NA,NA,NA,NA,15413.7587890625,15276.16015625,18208.875,12399.740234375,18038.30078125,21559.154296875,13779.9296875,10631.0966796875,10165.3271484375,11574.6689453125,9820.6708984375,10210.8447265625
14,35,42.5,"[C10H10NaNi]+",211.00281,"C10H10Ni_M+Na",NA,NA,NA,NA,13634.2578125,10412.140625,19345.271484375,13501.3232421875,20248.9296875,NA,NA,9072.6982421875,26679.234375,22721.677734375,15753.767578125,18596.681640625,30875.55078125,NA,NA,28251.423828125,NA,14661.060546875,NA,11730.453125,NA,NA,NA,NA,NA,21400.451171875,NA,13436.2919921875,NA,NA,NA,19061.173828125,16344.8154296875,15796.6083984375,19957.91015625,22733.271484375,26354.666015625,23257.26953125,18937.265625,28325.021484375,NA,32293.392578125,NA
15,310,315,"[C10H11BrNO]+",240.00185,"C10H7BrO_M+NH4",11174.53125,18892.16015625,NA,14479.44140625,NA,12424.458984375,8725.4970703125,16784.3203125,19601.634765625,18434.01953125,NA,13893.6328125,13835.9287109375,10184.1875,NA,15673.6708984375,6240.57666015625,NA,NA,NA,NA,9356.2978515625,12690.8212890625,NA,NA,NA,NA,NA,NA,NA,NA,18462.29296875,NA,NA,NA,NA,12355.634765625,15328.6318359375,17048.375,NA,8706.0224609375,16533.578125,10335.3837890625,15347.845703125,NA,12344.3359375,NA
16,447.5,452.5,"[C10H11BrNO]+",240.00185,"C10H7BrO_M+NH4",NA,25924.94921875,NA,31232.318359375,NA,8845.2548828125,NA,NA,NA,21842.17578125,NA,NA,NA,31942.80859375,NA,NA,NA,NA,NA,NA,NA,NA,10722.658203125,5439.47802734375,NA,NA,NA,NA,NA,NA,NA,11245.0439453125,NA,NA,NA,NA,NA,6991.408203125,NA,NA,26626.31640625,17896.38671875,NA,7080.6787109375,NA,NA,NA
17,350,370,"[C10H11ClO3]+",214.03912,"C10H10ClO3_M+H",38931.9453125,48517.44921875,48441.5546875,51804.50390625,48046.609375,49503.51171875,42138.140625,36103.75,29096.63671875,45635.08203125,50168.10546875,42446.22265625,49023.6171875,38348.046875,41810.6328125,46477.2265625,30171.4296875,59287.65625,35267.15234375,35387.1875,42683.35546875,39813.19140625,29763.115234375,83564.0625,39926.0390625,60352.03125,39494.390625,51166.7109375,57059.3828125,66257.3125,39507.92578125,43869.80859375,NA,NA,NA,101034.3515625,84316.859375,62358.12890625,60345.2578125,66901.328125,49426.6484375,56425.0859375,44856.09765625,39696.28125,40698.2421875,36428.21875,40393.87109375
19,69.577538448,86.03676007998,"[C10H11N2O2]+",191.0815,"C10H12N2O3_M+H-H2O; C10H7NO2_M+NH4; C10H10N2O2_M+H",440955.59375,257000.03125,380291.875,240988.359375,367517.84375,368854.0625,433658.5625,325616.46875,373829.78125,275426.90625,431699.46875,315024,439045.03125,559408.25,429285.90625,410820.25,556603.625,476212.875,452670.09375,555975.5625,708078.5,390390.5625,702544.9375,403804.34375,567307.8125,302116.84375,492046.5,415089.375,509168.65625,271238.40625,173847.34375,386104.25,17479.529296875,NA,NA,176768.28125,218097.8125,177390.390625,208017.46875,245601.734375,292316.53125,315123.90625,372660.75,445766.71875,523852.53125,541799.4375,591633.25
20,64.68429131202,69.577538448,"[C10H11N2O2]+",191.0815,"C10H12N2O3_M+H-H2O; C10H7NO2_M+NH4; C10H10N2O2_M+H",376247.78125,219485.5,261748.46875,240988.359375,289932.09375,350485.4375,433658.5625,325616.46875,304341.09375,260269.015625,430509.59375,247561.140625,432318.34375,559408.25,344714.75,363955.09375,477978.46875,432741.40625,312873.78125,445211.40625,708078.5,320570.1875,702544.9375,403804.34375,456848.34375,284123.5,462883.34375,324659.09375,447211.5625,271238.40625,173847.34375,386104.25,17479.529296875,NA,NA,176768.28125,218097.8125,176030.984375,208017.46875,245601.734375,292316.53125,315123.90625,341182.875,377024.03125,415110.625,541799.4375,591633.25
21,86.03676007998,111.68197654398,"[C10H11N2O2]+",191.0815,"C10H12N2O3_M+H-H2O; C10H7NO2_M+NH4; C10H10N2O2_M+H",440955.59375,257000.03125,380291.875,234343.640625,367517.84375,368854.0625,428000.6875,307796.03125,373829.78125,275426.90625,431699.46875,315024,439045.03125,532097.125,429285.90625,410820.25,556603.625,476212.875,452670.09375,555975.5625,614471,390390.5625,569173.0625,402469.28125,567307.8125,302116.84375,492046.5,415089.375,509168.65625,271238.40625,173847.34375,337509.65625,12914.5224609375,10657.7373046875,9369.6630859375,176768.28125,202274.109375,177390.390625,174654.546875,221383.1875,245188.0625,299896.4375,372660.75,445766.71875,523852.53125,541799.4375,591633.25
22,255,260,"[C10H11N2O2]+",191.0815,"C10H12N2O3_M+H-H2O; C10H7NO2_M+NH4; C10H10N2O2_M+H",12625.94140625,12181.9755859375,11946.427734375,10312.9697265625,8791.888671875,11645.5927734375,10653.453125,NA,12015.447265625,NA,12117.892578125,11113.384765625,16145.767578125,NA,11427.8076171875,12311.51953125,12463.2080078125,10867.58984375,14128.4345703125,8970.958984375,11952.666015625,12864.3564453125,7807.5107421875,11938.509765625,11341.2607421875,12086.123046875,16353.1103515625,11410.6201171875,11453.2568359375,13903.974609375,10634.0712890625,9807.2294921875,8519.373046875,NA,NA,18968.810546875,17562.404296875,15057.0439453125,14540.0283203125,12689.4501953125,16986.642578125,14076.734375,13833.0009765625,12414.388671875,10997.23828125,10265.447265625,13554.373046875
23,77.5,107.5,"[C10H11N2O3]+",207.07642,"C10H12N2O4_M+H-H2O; C10H7NO3_M+NH4",19097.92578125,21010.365234375,15356.8212890625,17518.41015625,19333.724609375,10543.658203125,14177.8564453125,9753.6962890625,14290.751953125,16087.7998046875,21833.349609375,12477.599609375,22804.287109375,18508.826171875,20139.3046875,17450.775390625,18004.009765625,38198.06640625,14396.2607421875,15980.9833984375,18746.185546875,25350.7734375,21765.169921875,18461.16015625,21495.80859375,20017.484375,31900.810546875,23882.392578125,18688.2109375,17748.4296875,15894.3134765625,8382.4521484375,NA,NA,NA,15033.9013671875,18220.591796875,16111.58203125,21347.63671875,16552.52734375,19309.859375,24249.828125,22900.673828125,9722.8408203125,12670.763671875,24103.005859375,18541.916015625
24,125,132.5,"[C10H11N2O3]+",207.07642,"C10H12N2O4_M+H-H2O; C10H7NO3_M+NH4",10244.392578125,8688.0341796875,10099.3447265625,11643.681640625,11709.8203125,7735.03662109375,11241.4267578125,5127.69677734375,10984.7138671875,10899.25,9282.1162109375,8204.7568359375,12208.2978515625,10231.9267578125,8300.1328125,9621.181640625,13181.095703125,12109.8369140625,10624.44921875,9306.3251953125,10522.798828125,10916.8974609375,9129.4521484375,7859.51220703125,9105.0634765625,9842.5966796875,13510.1015625,10293.40625,11675.322265625,14523.0576171875,14106.6982421875,7492.6904296875,NA,NA,NA,10542.712890625,12297.1142578125,8292.640625,14214.9892578125,10967.4248046875,10417.8134765625,10747.875,12500.2685546875,6997.40869140625,8778.935546875,9302.7998046875,12241.5849609375
25,115,122.5,"[C10H11N2O3]+",207.07642,"C10H12N2O4_M+H-H2O; C10H7NO3_M+NH4",12040.8857421875,8229.462890625,10099.3447265625,10077.83984375,11709.8203125,7574.73974609375,11241.4267578125,4557.814453125,8125.44091796875,10899.25,9965.845703125,8767.619140625,11581.7998046875,11100.61328125,10146.82421875,12089.4833984375,8603.3466796875,12109.8369140625,10624.44921875,8419.74609375,8287.7265625,12370.5341796875,10476.5380859375,7859.51220703125,9105.0634765625,12150.4892578125,13510.1015625,11753.080078125,11348.376953125,14523.0576171875,14106.6982421875,7492.6904296875,NA,NA,NA,11267.25,12205.5126953125,12022.03125,14214.9892578125,10967.4248046875,9253.830078125,10747.875,12500.2685546875,12082.7412109375,8778.935546875,11049.060546875,12068.7216796875
26,66.94817497602,69.95814779202,"[C10H11N2O]+",175.08659,"C10H12N2O2_M+H-H2O; C10H10N2O_M+H; C10H7NO_M+NH4",184448.015625,173146.375,178279.3125,163531.125,219881.765625,171794.171875,208664.96875,115260.515625,149888.734375,175612.453125,198940.40625,143427.875,293717.21875,215369.4375,217367.359375,217352.78125,187361.203125,298362.78125,148009.59375,218019.4375,253022.734375,209142.84375,177265.328125,194574.75,237175.140625,219005.671875,346585.1875,197974.609375,197958.234375,182282.328125,109628.8125,141621.828125,13325.052734375,NA,NA,113742.5390625,135474.5,112159.3828125,109149.1015625,105357.25,123621.859375,150391,145227.359375,142765.1875,137926.875,204293.84375,212284.5
27,315,330,"[C10H11N2]+",159.09167,"C10H10N2_M+H",74584.46875,40684.55859375,67810.7890625,30514.05078125,31184.98046875,19682.498046875,43985.81640625,30784.6328125,32770.68359375,35334.6015625,42960.9375,28340.296875,115604.0703125,55155.02734375,64708.82421875,70909.03125,27799.12109375,55344.49609375,27178.359375,26843.732421875,60970.47265625,43319.4296875,19628.8671875,29540.185546875,78815.9140625,29732.68359375,77030.7890625,60684.8671875,32476.869140625,65450.30078125,21773.828125,22011.720703125,4772.97802734375,7257.18994140625,8685.3115234375,58129.46484375,65108.8828125,51517.50390625,56975.1796875,44701.84375,51490.78515625,40973.46484375,29975.15234375,38918.703125,47783.60546875,46380.00390625,42741.1171875
29,60,67.5,"[C10H11O]+",147.08044,"C10H12O2_M+H-H2O; C10H10O_M+H",23188.740234375,147323.203125,24423.048828125,100720.53125,NA,59622.67578125,39705.046875,107905.65625,NA,41889.1875,28689.486328125,23356.130859375,39896.265625,36212.41796875,23703.00390625,16120.8095703125,75410.5625,100570.0078125,180576.078125,203399.40625,30707.330078125,37217.28125,NA,NA,72227.8046875,46889.32421875,NA,69480.546875,29616.404296875,68964.203125,46906.50390625,79110.1171875,6292.0341796875,9500.02734375,16852.494140625,160119.984375,122307.6875,159248.46875,126666.3828125,137444.59375,92226,115591.4140625,111243.46875,96860.625,84671.03125,95423.15625,57145.2421875
30,372.5,380,"[C10H12ClN3NaO3S]+",312.01801,"C10H12ClN3O3S_M+Na",NA,NA,NA,NA,6270.89794921875,10046.419921875,6553.15478515625,NA,NA,NA,NA,NA,9998.125,10484.2080078125,8930.6708984375,NA,NA,12337.607421875,NA,13535.6572265625,7099.10009765625,9316.4326171875,NA,7355.37158203125,4873.6982421875,NA,8967.87890625,16461.677734375,8453.2890625,7825.55126953125,8438.3837890625,NA,NA,NA,NA,13912.693359375,15282.7919921875,14836.759765625,16353.048828125,19066.533203125,16436.28125,15158.0693359375,12855.259765625,13635.9853515625,17937.080078125,17699.98828125,13699.400390625
31,35,42.5,"[C10H12ClN4O]+",239.06941,"C10H8ClN3O_M+NH4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14156.0390625,NA,NA,NA,28608.244140625,15623.8330078125,16711.189453125,11117.3251953125,NA,NA,NA,NA,NA,NA,NA,NA,15491.75390625,28448.671875,12407.1015625,31860.654296875,NA,NA,NA,14607.845703125,14627.9814453125,12972.98046875,11169.3203125,11521.3662109375,11453.76171875,10385.3486328125,17443.66796875,15950.953125,14351.7236328125,15687.935546875,13633.212890625
33,84.10812367998,105.46482644802,"[C10H12N3O2]+",206.0924,"C10H8N2O2_M+NH4; C10H13N3O3_M+H-H2O",34859.51953125,31102.548828125,34365.1328125,37434.78125,29830.357421875,28392.87109375,30201.015625,19553.345703125,26360.73828125,35305.9453125,25864.791015625,30041.33203125,47960.0078125,32207.24609375,37220.4765625,42163.3046875,31774.751953125,45795.4765625,32560.55859375,29410.47265625,34812.55078125,29145.466796875,29579.943359375,30055.98828125,39345.96875,32415.779296875,44347.65234375,37771.3125,39308.296875,45318.50390625,22371.837890625,27276.25,NA,NA,NA,32295.41796875,28275.009765625,30877.40625,29513.88671875,28517.90234375,34952.95703125,34719.09375,34800.00390625,33871.4453125,31040.123046875,31939.66796875,32983.1328125
34,105.46482644802,116.35105337598,"[C10H12N3O2]+",206.0924,"C10H8N2O2_M+NH4; C10H13N3O3_M+H-H2O",34859.51953125,31102.548828125,34365.1328125,37434.78125,29830.357421875,28392.87109375,30201.015625,19553.345703125,26360.73828125,35305.9453125,25864.791015625,30041.33203125,47960.0078125,32207.24609375,37220.4765625,42163.3046875,31774.751953125,45795.4765625,32560.55859375,29410.47265625,34812.55078125,29145.466796875,29579.943359375,30055.98828125,39345.96875,32415.779296875,44347.65234375,37771.3125,39308.296875,45318.50390625,22371.837890625,27276.25,NA,NA,NA,32295.41796875,28275.009765625,30877.40625,29513.88671875,28517.90234375,34952.95703125,34719.09375,34800.00390625,33871.4453125,31040.123046875,31939.66796875,32983.1328125
35,116.35105337598,142.41686154666,"[C10H12N3O2]+",206.0924,"C10H8N2O2_M+NH4; C10H13N3O3_M+H-H2O",34859.51953125,31102.548828125,32121.982421875,29721.015625,25995.6015625,28392.87109375,24701.947265625,19467.16796875,26360.73828125,30085.2109375,22766.9296875,30041.33203125,47960.0078125,29633.625,34190.55859375,42163.3046875,31774.751953125,41061.96484375,32560.55859375,29410.47265625,34812.55078125,27077.384765625,24606.11328125,26307.671875,39345.96875,32415.779296875,44347.65234375,37771.3125,28800.513671875,44429.90234375,19784.02734375,27276.25,NA,NA,NA,32295.41796875,25033.220703125,30877.40625,29513.88671875,27671.552734375,32573.306640625,32142.3046875,34800.00390625,33871.4453125,30850.892578125,31815.64453125,32983.1328125
36,168.48266971734,194.54847788802,"[C10H12N3O2]+",206.0924,"C10H8N2O2_M+NH4; C10H13N3O3_M+H-H2O",27236.73828125,19877.8125,24029.193359375,16610.513671875,17521.650390625,23663.421875,21042.072265625,15073.9580078125,18143.091796875,23604.119140625,17053.162109375,25756.458984375,34258.59375,28115.26953125,25206.994140625,30286.8359375,21632.345703125,25544.421875,18299.208984375,25523.775390625,22860.787109375,23512.2734375,18235.443359375,23666.193359375,27824.423828125,23450.892578125,29879.966796875,28037.169921875,21228.115234375,28786.20703125,18042.9375,17450.728515625,NA,NA,NA,18557.03125,26180.61328125,23740.896484375,22078.337890625,24739.705078125,26763.83203125,21955.154296875,23137.375,21958.158203125,21661.65234375,30447.26953125,27208.908203125
37,142.41686154666,168.48266971734,"[C10H12N3O2]+",206.0924,"C10H8N2O2_M+NH4; C10H13N3O3_M+H-H2O",27236.73828125,19877.8125,24029.193359375,16610.513671875,17842.765625,23663.421875,21042.072265625,15073.9580078125,18143.091796875,23604.119140625,18095.06640625,25756.458984375,34258.59375,28115.26953125,25206.994140625,30286.8359375,21632.345703125,25531.451171875,18299.208984375,25523.775390625,21037.185546875,23512.2734375,17389.751953125,20905.1484375,27824.423828125,23450.892578125,29879.966796875,28037.169921875,21228.115234375,26110.595703125,18042.9375,17450.728515625,NA,NA,NA,18557.03125,26180.61328125,23740.896484375,22078.337890625,24739.705078125,26763.83203125,21955.154296875,23137.375,21958.158203125,21661.65234375,30447.26953125,27208.908203125
38,305,312.5,"[C10H12N3O]+",190.09749,"C10H8N2O_M+NH4; C10H13N3O2_M+H-H2O",12758.2216796875,6968.19189453125,14614.3505859375,8349.287109375,NA,NA,12439.2158203125,6980.2890625,NA,10366.083984375,NA,NA,11088.4169921875,NA,NA,7892.2431640625,NA,11272.1630859375,8338.724609375,6829.6220703125,7249.83837890625,6540.07080078125,NA,NA,13664.5927734375,7745.34326171875,10522.251953125,NA,5731.8876953125,7595.8876953125,NA,5634.35791015625,NA,NA,NA,8411.9296875,9811.669921875,12992.318359375,9667.0810546875,10992.9638671875,16371.62890625,12937.6552734375,5556.53759765625,8191.78271484375,6393.53564453125,6672.1240234375,NA
39,290,317.5,"[C10H12N3]+",174.10257,"C10H8N2_M+NH4",12019.791015625,149696.40625,126539.25,143124.59375,92285.8984375,68990.75,11374.724609375,10758.5595703125,57154.10546875,108984.6171875,76383.703125,68293.40625,108492.2109375,85656.375,18881.673828125,158712.078125,10719.689453125,120827.8359375,11794.8662109375,57813.828125,62232.53515625,63897.234375,56683.58203125,60280.796875,162238.765625,81838.1875,9426.53515625,97115.203125,75977.8671875,175541.046875,33828.0390625,52980.3828125,NA,NA,NA,354882.78125,330469.0625,301769.125,271129.84375,244866.390625,190325.796875,185073.25,79586.734375,68140.21875,64861.48046875,76458.3515625,76903.4921875
40,293.93247620802,307.06608288,"[C10H12N4NaO5]+",291.06999,"C10H12N4O5_M+Na",17359.154296875,29498.46875,46363.34765625,32120.125,16201.3095703125,12436.5712890625,29279.080078125,14684.1259765625,17694.04296875,17826.609375,29510.8203125,11104.64453125,38959.97265625,19954.759765625,11737.7275390625,18260.294921875,26719.701171875,27207.521484375,19139.322265625,8141.197265625,17541.998046875,15433.826171875,9459.7841796875,18731.169921875,11144.0859375,10727.9541015625,19913.404296875,20575.40234375,10424.060546875,23379.431640625,16412.470703125,12606.8408203125,NA,NA,NA,26481.330078125,41724.55078125,33061.328125,44009.4375,41509.1484375,33778.26953125,21007.01171875,23450.294921875,14448.53125,18764.478515625,13266.068359375,14346.6376953125
41,247.5,260,"[C10H12N4NaO5]+",291.06999,"C10H12N4O5_M+Na",54094.26953125,20978.826171875,260922.671875,18597.37890625,22730.55859375,21396.04296875,92445.1015625,19309.95703125,33580.5234375,15580.5341796875,73885.2265625,22145.626953125,58898.93359375,55829.84375,26963.04296875,20983.33984375,32621.87890625,26736.005859375,32386.30859375,28685.662109375,41058.2109375,33023.41796875,30389.841796875,25296.845703125,46626.24609375,28306.44140625,37519.53125,31190.97265625,29194.173828125,20776.5703125,19722.451171875,25137.755859375,13534.560546875,44713.16796875,NA,NA,11145.326171875,14650.630859375,12604.4853515625,15903.4619140625,13966.283203125,20975.076171875,18667.515625,23805.91015625,26943.083984375,34046.01953125,33965.8203125
42,307.06608288,316.81928488002,"[C10H12N4NaO5]+",291.06999,"C10H12N4O5_M+Na",16606.03515625,29498.46875,24436.029296875,32120.125,16201.3095703125,12436.5712890625,24345.7109375,11075.0341796875,17694.04296875,14507.142578125,17954.505859375,11196.2509765625,27486.013671875,19954.759765625,11737.7275390625,15710.9384765625,14495.5986328125,19817.443359375,19139.322265625,NA,7837.001953125,16955.994140625,13353.953125,17662.666015625,11144.0859375,10727.9541015625,14132.9208984375,20575.40234375,10424.060546875,26254.392578125,10539.44921875,8626.9033203125,NA,8876.9814453125,NA,11293.50390625,41724.55078125,33061.328125,44009.4375,41509.1484375,33778.26953125,21007.01171875,23450.294921875,6412.451171875,7381.75830078125,8534.591796875,NA
43,283.45494467202,293.93247620802,"[C10H12N4NaO5]+",291.06999,"C10H12N4O5_M+Na",27075.416015625,18909.791015625,108671.125,23392.99609375,20809.8671875,17093.990234375,36941.8671875,12338.1103515625,10386.501953125,7532.9208984375,35248.12890625,13421.046875,38959.97265625,27897.80859375,14591.1435546875,19579.859375,21581.453125,27207.521484375,18601.005859375,14135.2822265625,20196.56640625,20117.822265625,22387.0546875,18731.169921875,26562.380859375,15295.275390625,24591.228515625,22473.67578125,18442.734375,23379.431640625,9020.2490234375,12606.8408203125,NA,NA,NA,26481.330078125,41724.55078125,33061.328125,44009.4375,41509.1484375,26565.35546875,21007.01171875,23450.294921875,13681.072265625,18700.810546875,15697.8017578125,14779.9443359375
45,367.5,377.5,"[C10H12NO2]+",178.08625,"C10H8O2_M+NH4; C10H11NO2_M+H; C10H13NO3_M+H-H2O",46764.30859375,41586.046875,30393.103515625,34050.74609375,164270.421875,115897.4453125,121609.203125,117802.9453125,51998.47265625,73237.6796875,40276.02734375,35597.29296875,36903.546875,21112.8984375,34635.890625,43388.39453125,29120.8125,50411.62890625,30040.58984375,27974.328125,69593.3359375,67766.1953125,24165.796875,50328.3359375,108701.21875,74578.7265625,107639.4375,121095.109375,60278.73046875,121577.109375,23642.55859375,34607.16796875,5717.916015625,17835.5859375,12290.169921875,60452.20703125,77194.3046875,67129.2265625,58841.30859375,62681.0625,62579.6484375,48908.0546875,34339.52734375,39771.59765625,36849.8203125,31179.9765625,25897.220703125
46,377.5,385,"[C10H12N]+",146.09642,"C10H8_M+NH4; C10H11N_M+H",NA,11784.62890625,NA,10384.818359375,9814.7060546875,9523.263671875,NA,7851.1884765625,NA,10446.8759765625,NA,5322.650390625,13636.9638671875,NA,NA,7878.267578125,5694.34765625,12632.962890625,6576.7919921875,6391.51953125,NA,7871.77685546875,NA,9304.0810546875,NA,7615.02294921875,NA,7817.09619140625,6939.35107421875,15379.74609375,NA,NA,NA,10542.2158203125,NA,NA,19223.6328125,16354.7578125,11987.8134765625,NA,14569.1328125,15556.85546875,7862.12548828125,NA,NA,6362.5751953125,4175.8291015625
